1.000000000000000000e+03 4.823000000000000000e+03 1.489999999999999991e+00 7.919999999999999957e-03
2.000000000000000000e+03 7.588999999999999773e+02 1.266000000000000014e+00 2.610000000000000167e-02
3.000000000000000000e+03 2.400999999999999943e+02 1.020000000000000018e+00 4.653000000000000191e-02
4.000000000000000000e+03 1.035999999999999943e+02 8.094999999999999973e-01 6.511000000000000121e-02
5.000000000000000000e+03 5.335000000000000142e+01 6.462999999999999856e-01 8.058999999999999497e-02
6.000000000000000000e+03 3.080999999999999872e+01 5.242999999999999883e-01 9.303999999999999770e-02
7.000000000000000000e+03 1.926999999999999957e+01 4.335999999999999854e-01 1.029000000000000054e-01
8.000000000000000000e+03 1.278999999999999915e+01 3.650999999999999801e-01 1.107999999999999957e-01
9.000000000000000000e+03 8.891999999999999460e+00 3.125000000000000000e-01 1.171999999999999986e-01
1.000000000000000000e+04 6.410999999999999588e+00 2.712999999999999856e-01 1.223999999999999949e-01
1.100000000000000000e+04 4.761999999999999567e+00 2.384000000000000008e-01 1.267999999999999960e-01
1.200000000000000000e+04 3.625999999999999890e+00 2.116999999999999993e-01 1.305000000000000049e-01
1.300000000000000000e+04 2.818999999999999950e+00 1.895999999999999908e-01 1.337000000000000133e-01
1.400000000000000000e+04 2.230999999999999872e+00 1.710000000000000131e-01 1.363999999999999935e-01
1.500000000000000000e+04 1.794000000000000039e+00 1.552999999999999936e-01 1.388000000000000067e-01
1.600000000000000000e+04 1.461000000000000076e+00 1.416999999999999926e-01 1.408999999999999975e-01
1.700000000000000000e+04 1.205000000000000071e+00 1.300000000000000044e-01 1.428000000000000103e-01
1.800000000000000000e+04 1.004000000000000004e+00 1.197000000000000008e-01 1.444999999999999896e-01
1.900000000000000000e+04 8.449999999999999734e-01 1.106000000000000039e-01 1.459999999999999909e-01
2.000000000000000000e+04 7.169999999999999707e-01 1.024999999999999939e-01 1.472999999999999865e-01
2.100000000000000000e+04 6.130999999999999783e-01 9.531000000000000583e-02 1.484999999999999931e-01
2.200000000000000000e+04 5.280000000000000249e-01 8.883000000000000618e-02 1.494999999999999940e-01
2.300000000000000000e+04 4.576000000000000068e-01 8.297999999999999821e-02 1.504000000000000059e-01
2.400000000000000000e+04 3.990000000000000213e-01 7.768999999999999517e-02 1.512000000000000011e-01
2.500000000000000000e+04 3.497000000000000108e-01 7.288000000000000034e-02 1.519999999999999962e-01
2.600000000000000000e+04 3.080999999999999850e-01 6.850000000000000533e-02 1.526000000000000134e-01
2.700000000000000000e+04 2.726999999999999980e-01 6.449000000000000565e-02 1.531000000000000139e-01
2.800000000000000000e+04 2.424000000000000044e-01 6.081999999999999906e-02 1.535999999999999865e-01
2.900000000000000000e+04 2.162999999999999923e-01 5.745000000000000107e-02 1.539999999999999980e-01
3.000000000000000000e+04 1.938000000000000000e-01 5.435000000000000248e-02 1.544000000000000095e-01
3.100000000000000000e+04 1.741999999999999937e-01 5.147999999999999798e-02 1.547000000000000042e-01
3.200000000000000000e+04 1.570999999999999897e-01 4.882999999999999841e-02 1.549000000000000099e-01
3.300000000000000000e+04 1.421000000000000041e-01 4.637999999999999762e-02 1.550999999999999879e-01
3.400000000000000000e+04 1.290000000000000036e-01 4.410000000000000031e-02 1.552999999999999936e-01
3.500000000000000000e+04 1.174000000000000044e-01 4.198000000000000342e-02 1.554000000000000103e-01
3.600000000000000000e+04 1.071000000000000008e-01 4.000999999999999696e-02 1.554999999999999993e-01
3.700000000000000000e+04 9.790999999999999703e-02 3.817999999999999866e-02 1.554999999999999993e-01
3.800000000000000000e+04 8.974999999999999645e-02 3.645999999999999935e-02 1.554999999999999993e-01
3.900000000000000000e+04 8.244999999999999551e-02 3.486000000000000210e-02 1.554999999999999993e-01
